75, 7587_filler, 886.4482147875306
92, 6856_filler, 1111.6251054199884
136, 4565_filler, 1077.5016821332576
221, 2621_filler, 1395.8636215619347
162, 554_filler, 940.3046381359607
144, 3062_filler, 831.7827240331455
42, 4434_filler, 1319.1690092630283
213, 4565_filler, 1075.8300283966794
43, 7587_filler, 1035.0722197025675
147, 4869_filler, 1218.07635228667
184, 7587_filler, 1111.5094466535136
148, 5125_filler, 1028.6100451580278
151, 1042_filler, 540.6529328044008
361, 5394_filler, 1069.8802503084166
95, 3062_filler, 1037.8784851802257
142, 7587_filler, 994.8943411237195
167, 7587_filler, 1175.98878608599
304, 7587_filler, 1374.5306016964482
325, 7587_filler, 1148.547125720142
494, 3062_filler, 1041.984824745543
187, 4565_filler, 935.3834775106945
59, 7587_filler, 993.0514525944766
157, 7587_filler, 1058.5147613519614
511, 3062_filler, 901.4879366913348
340, 496_filler, 742.7135214872555
416, 791_filler, 1378.6372800704326
123, 7587_filler, 1084.0091097403194
486, 7587_filler, 1032.1496984449493
481, 2592_filler, 1188.0435598074678
360, 1042_filler, 1074.935056177814
505, 7587_filler, 1243.459337895695
526, 711_filler, 1004.4381825179686
519, 324_filler, 1114.5762647750937
96, 2218_filler, 1321.7452477690244
354, 5020_filler, 1112.6466195517785
35, 3062_filler, 950.4523265266912
133, 711_filler, 821.5335127065724
443, 7587_filler, 1260.896754298305
522, 7587_filler, 912.8375060765196
356, 4716_filler, 1072.6115909312186
286, 554_filler, 810.8065814360414
381, 7587_filler, 1514.7783666266164
477, 5125_filler, 814.6424445730777
578, 7587_filler, 1059.426672781085
617, 7587_filler, 1061.3510847028895
90, 3062_filler, 1240.3643617905184
294, 7587_filler, 890.1268168075827
570, 1923_filler, 743.6646589693503
642, 7666_filler, 762.0735692831762
623, 1042_filler, 952.4688971299797
444, 7587_filler, 1239.5591454222747
224, 5125_filler, 993.9861669057573
180, 6683_filler, 1185.03807955694
218, 5782_filler, 769.8864364307245
44, 4967_filler, 988.16917200447
561, 2213_filler, 1077.3242316034666
423, 3525_filler, 737.6748097908726
153, 6274_filler, 1130.2663955899955
37, 2550_filler, 912.8570876648765
605, 7587_filler, 1056.8858145514112
195, 4565_filler, 820.9000395906921
612, 7587_filler, 1233.840802129675
284, 2592_filler, 1305.2097053730486
52, 7587_filler, 904.3864287460311
550, 708_filler, 875.6879795338064
208, 7587_filler, 1049.6196334863407
198, 6683_filler, 656.4328792801286
390, 5125_filler, 1136.7991797146935
190, 7587_filler, 759.9706820002992
105, 7587_filler, 1172.7034471681236
154, 7587_filler, 805.3588873912053
141, 4434_filler, 470.77265280069105
303, 7587_filler, 1069.8004486819025
476, 6586_filler, 654.6395000303602
55, 7587_filler, 1055.3291548137954
129, 4565_filler, 753.5124833073437
502, 1716_filler, 518.580514481599
315, 1716_filler, 1059.91102220894
329, 3566_filler, 832.1168788097018
124, 711_filler, 642.8951605821901
616, 3062_filler, 1305.082660217352
628, 3282_filler, 1308.7714659175604
495, 4434_filler, 1166.8847415233433
439, 7587_filler, 1358.9684507007512
53, 7587_filler, 867.8405671550506
480, 563_filler, 1077.5770854096704
82, 45_filler, 1329.0307558517975
553, 1716_filler, 657.1921332456742
139, 7587_filler, 1023.3388673846019
183, 6455_filler, 1201.6308189290087
341, 3233_filler, 983.4414064904935
225, 7587_filler, 1077.9212633583215
115, 1042_filler, 1125.821144765011
510, 4057_filler, 1060.7417805479333
377, 4565_filler, 1152.5427866244272
548, 7587_filler, 462.36236127630457
544, 711_filler, 1178.495916412102
204, 4565_filler, 1131.3884721880456
620, 7587_filler, 1044.7099477845513
121, 1656_filler, 687.5618381280334
379, 4869_filler, 1501.0746150674856
70, 4044_filler, 936.7639777446611
562, 7587_filler, 1117.4779080590363
364, 5125_filler, 1216.6041365209967
179, 2356_filler, 1178.7384145772123
530, 51_filler, 1285.4201161488022
603, 554_filler, 1252.2707874098157
349, 195_filler, 1036.4685837014067
203, 4565_filler, 722.0477390727015
419, 554_filler, 426.040069271659
58, 711_filler, 608.0867022884155
146, 7587_filler, 935.1553012735371
220, 7529_filler, 1021.97786179545
39, 1002_filler, 790.2095449942376
559, 6310_filler, 642.7260059698845
629, 7587_filler, 1151.3498599470101
581, 3726_filler, 1090.9510758966233
518, 7529_filler, 1099.4482138782162
16, 1923_filler, 633.8745932753576
375, 2621_filler, 656.2667140728684
292, 708_filler, 867.4817000951663
73, 1716_filler, 862.4888405075163
501, 4565_filler, 1299.468545213773
26, 4565_filler, 1166.3918188156156
211, 4565_filler, 1011.836974270065
546, 7587_filler, 987.6475206266657
539, 7587_filler, 1099.133351782212
185, 1459_filler, 598.4459300972812
305, 7529_filler, 1132.267912200995
350, 4565_filler, 1118.987600467494
355, 7667_filler, 1224.5873284498741
65, 711_filler, 752.0497407086848
173, 2181_filler, 685.4329152076081
451, 7156_filler, 975.4565918071393
313, 4429_filler, 1172.5082089264877
639, 1042_filler, 1028.3293489928215
14, 6116_filler, 840.7830427643031
38, 711_filler, 459.9458527913911
351, 3536_filler, 1069.9717870112277
171, 7587_filler, 1009.3172197084522
580, 6683_filler, 766.0421006707138
630, 7103_filler, 831.4525317178366
29, 4676_filler, 1260.2439248018616
176, 711_filler, 1018.9680748188335
85, 4105_filler, 922.2781576075625
283, 1716_filler, 856.2340509463519
586, 3062_filler, 1192.303914696249
453, 7529_filler, 641.5019241982053
138, 6157_filler, 877.859256942706
385, 7590_filler, 1221.1744347143858
464, 7587_filler, 1039.842836682544
64, 2621_filler, 1105.195910234923
417, 7587_filler, 1008.9005773613176
